Pergunta,Resposta Certa,Resposta Errada,Resposta Errada,Resposta Errada;,,
1.What are dividends?,Net income distributed to shareholders,Company shares,Gross profit distributed to shareholders,Company capital;,,
1.What is debt to equity for?,Measure indebtedness compared to Equity,Know the liabilities,Know your equity,Measure equity compared to indebtedness;,,
2.What is the most important financial statement?,All the answers,Statement of cash flows,Income Statement,Statement of financial position;,,
3.How to avoid double taxation on American stocks?,Fill in the W-8BEN,Not declaring,Do not sell the shares,Do not buy the shares;,,
3.What is elasticity in economics?,The size of the impact that the change in one variable has on another variable,Chewing gum,Percentage change of a variable, given the percentage change in price," ceteris paribus""""",Measures the percentage change in the quantity demanded of a particular good;
1.What Is Financial Literacy?,All the answers,Personal financial management,budgeting,Investing;,,
1.What is the Importance of Financial Literacy?,making informed financial decisions,buying whatever you want,Have a nice coffee every day,Retire early;,,
1.What does FIRE mean in finance?,Financial Independence," Retire Early""""",Financial independence," Retire on Easter""""",Finance Indication for Rare Economic,Financial Indicator for re-mixed Economies;
1. What’s the emergency fund for?,All the answers,Separate savings account,Cover three to six months’ worth of expenses,It be off-limits for paying regular expenses;,,
1.What financial instruments are possible to invest in?,All the answers,Stocks,ETFs,Bonds;,,
2.What is the S&P500?,Represent the largest publicly-traded companies in the U.S,The biggest 500 companies,US small-cap companies ,Represente the largest private companies in the world;,,
2.What is the top sector in S&P500 by weight?,Information Technology,Real Estate ,Utilities,Industrials;,,
2.What is a stock option?,Is a contract between two parties,It is a CFD,It is a stock in S&P500,It is a mix between stock and ETF;,,
2.What is the best broker?,Depends on the investor goals,XTB,Trading212,InteractiveBrokers;,,
2.What is the best financial instrument for investing?,Depends on the investor goals,Stocks,ETFs,Bonds;,,
1.What is the riskiest investment between:,P2P,Bonds,ETFs,Stocks;,,
1.What is a stock index?,A measure representing the performance of the stock market,A debt security issued by a company,A fixed interest rate,A insurance contract;,,
1.How does a market order work on the stock market?,Buying or selling stocks at the current market price,Buying stocks at a fixed price,Selling stocks at a fixed price,Reserving stocks for future purchase;,,
1.What is a dividend?,A portion of a company's profits distributed to shareholders,A loan of stocks to another investor,A debt security issued by a company,An option contract;,,
1.What is the concept of volatility in the stock market?,Degree of variation in stock prices,Fixed value of a stock,Quantity of circulating stocks,Average holding time of a stock;,,
1.What is someone called who invests in stocks?,Shareholder investor,Bond investor,Real estate investor,Commodities investor;,,
1.What is the P/E (Price/Earnings) of a stock?,Ratio comparing a stock's price to its earnings per share,Total value of a stock,Percentage change in the stock's value over the year,Fixed interest rate of a stock;,,
1.What is the place called where stocks are bought and sold?,Stock Exchange,Supermarket,Art auction,Street market;,,
1.What is a "bear market" in the context of stocks?,A market with a downward trend,A market with an upward trend,An investment strategy,A volatility index;,,
1.What is a "bull market" in the context of stocks?,A market with an upward trend,A market with a downward trend,An investment strategy,A risk index;,,
1.What does "short selling" in stocks mean?,Selling borrowed stocks with the intention to buy them back at a lower price,Buying stocks for the long term,Selling stocks with the goal of quick profit,Redemption of stocks from a mutual;,,
1.What are investors called who seek to profit from small price variations in stocks?,Day traders,Long-term investors,Value investors,Income investors;,,
1.What is an annual report of a stock company?,A document disclosing financial and operational information of a company throughout the year,An investment guide,An option contract,A prospectus for IPO;,,
1.How is a company's market value calculated?,Multiplying the number of shares by the current market price,Dividing net profit by the number of shareholders,Adding up the value of assets and liabilities,Subtracting the annual dividend;,,
1.What is the difference between common stock and preferred stock?,Preferred stock has priority in receiving dividends and repayment,Common stock offers more voting rights,Preferred stock has no voting rights,Common stock does not receive dividends;,,
1.What is a circuit breaker in the stock market?,Mechanism that temporarily halts trading in case of extreme price movements,A type of market order,A risk index for investments,A security device to prevent fraud;,,
1.How does the concept of leverage work in investments?,Use of borrowed capital to amplify the potential return,Keeping all investments in cash,Avoiding any type of loan in investments,Widely diversifying investments;,,
1.What is the role of a fund manager?,Making investment decisions on behalf of the fund's investors,Setting the country's monetary policy,Executing buy and sell orders on the stock exchange,Analyzing annual reports of companies;,,
1.What is a day trader?,An investor who buys and sells assets on the same day,A long-term investor,An investor who prefers preferred stocks,An investor who focuses only on dividends;,,
1.What is the importance of diversification in an investment portfolio?,Reducing risk by spreading investments across different assets,Concentrating all investments in a single stock,Increasing risk by investing in similar sectors,Diversifying only among different types of stocks;,,
1.What is a futures contract?,Agreement to buy or sell an asset at a predetermined price on a future date,Lease agreement for property,A document proving ownership of a vehicle,Employment contract between employer and employee;,,
1.What is the impact of a monetary policy decision on the stock market?,It can influence interest rates and affect stock prices,It has no impact on the stock market,Automatically increases the value of all stocks,Decreases market volatility;,,
1.What is a stop-loss in investments?,Order to sell an asset automatically if the price reaches a certain level,Order to buy stocks at the highest point of the day,Limitation on the number of stocks an investor can own,A type of call option;,,
1.How is return on investment (ROI) calculated?,By dividing the investment gain by the investment cost and multiplying by 100,By subtracting the investment cost from the gain and dividing by 100,By adding the investment gain to the cost and multiplying by 100,By dividing the investment gain by the investment cost;,,
1.What is the difference between a primary market and a secondary market?,Primary market is where new stocks are issued while the secondary market is where existing stocks are traded,Secondary market is where new stocks are issued,Both terms refer to the same type of market,There is no difference between them;,,
1.What is an IPO?,Initial Public Offering,International Private Offer,Imported Product Offering,International Public Offering;,,
1.What is the difference between a trader and an investor?,A trader seeks short-term profits while an investor seeks long-term gains,A trader seeks long-term gains while an investor seeks short-term profits,Both terms are synonymous,There is no difference between them;,,
1.What is a stock split?,When a company divides its existing stocks into multiple new stocks,When a company combines its existing stocks into a single stock,The issuance of new stocks in the primary market,The acquisition of stocks from other companies;,,
1.What is the role of a financial analyst?,Analyzing financial data and making investment recommendations,Processing bank transactions,Developing marketing strategies for financial companies,Conducting internal audits in companies;,,
1.How is the price of a stock determined in the secondary market?,By the supply and demand of investors in the market,By the nominal value of the stock,By the net profit of the company,By the average of closing prices over the last few years;,,
1.What is the market price of a stock?,The current price at which a stock can be bought or sold in the market,A fixed value set by the issuing company,A price that never changes,A fee imposed by the government on stock transactions;,,
1.How do financial news and global events affect the stock market?,They can influence stock prices causing market fluctuations,Little impact as the stock market is entirely independent of external events,They have no impact on investor decisions,Only affect the stocks of specific companies;,,
1.How does the S&P 500 index work?,It is a market-cap-weighted index tracking the performance of 500 large American companies,List of companies not on the stock exchange,An index measuring volatility in the foreign exchange market,An index representing only technology sector companies;,,
1.What is the role of a market maker?,Facilitate market liquidity by buying and selling assets,Establish the market interest rate,Determine the country's monetary policy,Assess the financial health of companies;,,
1.What is fundamental analysis?,An analytical approach that evaluates the intrinsic value of a company based on its financial fundamentals,A short-term investment strategy focused on price fluctuations,A method that completely ignores financial data when making investment decisions,A type of insurance for investments;,,
1.What is a technology IPO?,Initial Public Offering of stocks from a technology company,A commodity price index specific to the technology sector,A loan for technology companies,A type of fixed-income security issued by technology companies;,,
1.How do interest rates affect bond prices?,Bond prices fall when interest rates rise and vice versa,Bond prices are always the same regardless of interest rates,Bond prices rise when interest rates rise and vice versa,Interest rates have no impact on bond prices;,,
1.How do investors assess a company's growth potential when buying stocks?,Analyzing indicators such as revenues and profits and future prospects,Trust in the company's CEO regardless of financial indicators,Analyzing only the historical prices of stocks,Ignoring financial data completely;,,
1.What is a sector ETF?,An Exchange Traded Fund that focuses on stocks from a specific sector of the economy,A debt security issued by a company in a specific sector,An index measuring the volatility of a specific sector,A option contract related to a specific sector;,,
1.What factors influence stock market volatility?,Economic news and global events and politics and company performance,Volatility is entirely random and not influenced by any external factors,Only company performance influences volatility,No external factors impact volatility;,,
1.How can a country's monetary policy affect the stock market?,Changes in interest rates can influence borrowing costs and corporate spending impacting stocks,Monetary policy has no impact on the stock market only on the real economy,Monetary policy only affects the bond market with no impact on stocks,Monetary policy influences only the foreign exchange market;,,
1.How can exchange rates affect international investments?,Fluctuations in exchange rates can impact the value of investments in foreign currency,They can affect only exports and imports with no impact on international investments,Exchange rates have no impact on international investments,Fluctuations in exchange rates affect only investments in stocks not in other assets;,,
1.What is the goal of rebalancing an investment portfolio?,To maintain asset allocation according to investor's investment goals and risk profile,To maximize short-term returns regardless of asset allocation,To keep asset allocation fixed without adjustments over time,To minimize diversification by concentrating investments in a few assets;,,
1.How can inflation affect investments?,Inflation can erode the purchasing power of investments reducing their real value,Inflation has no impact on investments only on the real economy,Inflation always benefits investors increasing the value of assets,Inflation affects only investments in stocks not in other assets;,,
1.What risks are associated with penny stocks (low-value stocks)?,High risk due to low market capitalization and lower liquidity,They can be considered safe investments due to their low price,Penny stocks have no risks they are always profitable,Limited risks due to their affordable price;,,
1.What is the role of an investment advisor?,To advise clients on investment strategies and manage their portfolios,To advise only on buying and selling stocks without considering investment strategies,To establish monetary policies for the country,To conduct internal audits in investment companies;,,
1.What is a "short squeeze" in the stock market?,A sudden increase in the stock price due to large-scale buying,An event where investors lose money due to a market downturn,An increase in interest rates negatively impacting stocks,Pressure on investors who bet against a stock forcing them to buy to cover their positions;,,
1.How can corporate news impact a company's stocks?,Positive news can boost stock prices while negative news can cause them to fall,Corporate news has no impact on stocks only on bonds,Positive or negative news only affects market volatility without impacting stock prices,Corporate news only affects stocks of large companies;,,
1.What is technical analysis in stock trading?,An approach that uses charts and price indicators to predict future price movements,A method that relies exclusively on fundamental analysis without considering market data,A term used only to describe bond analysis unrelated to stocks,Technical analysis is not applicable to stock trading;,,
1.How can leverage affect stock investments?,Leverage can amplify both gains and losses in stock investments being a high-risk strategy,Leverage has no impact on stock investments only on bonds,Leverage is only applicable to institutional investors not individual investors,Leverage is a safe strategy to maximize gains in stocks;,,
1.What are cryptocurrencies?,Forms of digital currency that use cryptography for security and operate decentralizedly,Traditional government-issued currencies with advanced cryptography,Payment units used exclusively in online games,Financial instruments issued by central banks;,,
1.How do transactions with cryptocurrencies work?,Transactions are recorded on a blockchain a decentralized and immutable ledger,Transactions are recorded only on centralized databases subject to changes,Cryptocurrency transactions are not recorded ensuring total anonymity,Cryptocurrency transactions rely solely on financial intermediaries;,,
1.What are the advantages of using cryptocurrencies?,Fast transactions low fees global access and control over one's own money,Slow transactions high fees geographical restrictions and lack of user control,Total anonymity no transaction tracking no government control,Dependency on financial intermediaries for transactions and total government control;,,
1.What is cryptocurrency mining?,The process of validating transactions and creating new units of cryptocurrency through computational power,A method of stealing cryptocurrencies similar to a cyber attack,A secure storage service for cryptocurrencies similar to a bank vault,An app for tracking cryptocurrency prices;,,
